Kakhaberidze (კახაბერიძე)
Kakhidze (კახიძე)
Kalichava (ყალიჩავა)
Kapanadze (კაპანაძე)
Kasradze (კასრაძე)
Kaukhchishvili (ყაუხჩიშვილი)
Kazbegi (ყაზბეგი)
Kereselidze (კერესელიძე)
Kashibadze (ქაშიბაძე)
Kaldani (ქალდანი)
Kartskhia (ქარცხია)
Kharaishvili (ხარაიშვილი)
Khardziani (ხარძიანი)
Kherkheulidze (ხერხეულიძე)
Khetaguri (ხეთაგური)
Khidirbegishvili (ხიდირბეგიშვილი)
Khimshiashvili (ხიმშიაშვილი)
Khinchagashvili(ხინჩაგაშვილი)
Khinchegashvili(ხინჩეგაშვილი)
Khinchigashvili(ხინჩიგაშვილი)
Khomeriki (ხომერიკი)
Khutsishvili (ხუციშვილი)
Khurtsidze (ხურციძე)
Khujadze (ხუჯაძე)
Khurtsilava (ხურცილავა)
Kiknadze (კიკნაძე)
Kipiani (ყიფიანი)
Kobakhia (კობახია)
Kobakhidze (კობახიძე)
Kobalia (ქობალია)
Kobulashvili (ქობულაშვილი)
Kochakidze (ქოჩაკიძე)
Kodoshvili (კოდოშვილი)
Koridze (ქორიძე)
Kotrikadze (კოტრიკაძე)
Kvaratskhelia (კვარაცხელია)
Kvernadze (კვერნაძე)
Kublashvili (კუბლაშვილი)
Kulumbegashvili (ყულუმბეგაშვილი)
Kurdgelashvili (კურდღელაშვილი)
Kurdgelia (კურდღელია)
Kurtanidze (კურტანიძე)
Kvekvetsia (კვეკვეცია)
Kutateladze (ქუთათელაძე)
Kavtarashvili (ქავთარაშვილი)
Kavtaradze (ქავთარაძე)
Kandelaki (კანდელაკი)
Kobaladze (კობალაძე)
Kobalava (კობალავა)
L (ლ)
Labadze (ლაბაძე)
Lazarashvili (ლაზარაშვილი)
Licheli (ლიჩელი)
Leonidze (ლეონიძე)
Liparteliani (ლიპარტელიანი)
Lobzhanidze (ლობჟანიძე)
Lortkipanidze (ლორთქიფანიძე)
Lomidze (ლომიძე)
Lomtatidze (ლომთათიძე
Laliashvili (ლალიაშვილი)
Laghidze (ლაღიძე)
Loladze (ლოლაძე)
Lomaia (ლომაია)
M (მ)
Monavardisashvili (მონავარდისაშვილი)
Machabeli (მაჩაბელი)
Machavariani (მაჭავარიანი)
Machutadze (მაჭუტაძე)
Magalashvili (მაღალაშვილი)
Maisuradze (მაისურაძე)
Mamaladze (მამალაძე)
Manvelishvili (მანველიშვილი)
Mgeladze (მგელაძე)
Mchedlishvili (მჭედლიშვილი)
Mdivani (მდივანი)
Melikishvili (მელიქიშვილი)
Melkadze (მელქაძე)
Melua (მელუა)
Menteshashvili (მენთეშაშვილი)
Meskhi (მესხი)
Mikeladze (მიქელაძე)
Mikelashvili (მიქელაშვილი)
Mildiani (მილდიანი)
Mkheidze (მხეიძე)
Museliani (მუსელიანი)
Mukhraneli (მუხრანელი)
Mzhavanadze (მჟავანაძე)
Murtazashvili (მურთაზაშვილი)
N (ნ)
Nakani (ნაკანი)
Nakashidze (ნაკაშიძე)
Navrozashvili
Nanava (ნანავა)
Nemsadze (ნემსაძე)
Nikoladze (ნიკოლაძე)
Nikolashvili (ნიკოლაშვილი)
Nikolaishvili (ნიკოლაიშვილი)
Nioradze (ნიორაძე)
Nizharadze (ნიჟარაძე)
Nogaideli (ნოღაიდელი)
Nozadze (ნოზაძე)
O (ო)
Oboladze (ობოლაძე)
Obolashvili (ობოლაშვილი)
Ochiauri (ოჩიაური)
Oniani (ონიანი)
Orbeliani (ორბელიანი)
Okinashvili (ოკინაშვილი)
Okropiridze (ოქროპირიძე)
Orjonikidze (ორჯონიკიძე)
P (ფ, პ)
Pachulia (ფაჩულია)
Pankvelashvili (ფანქველაშვილი)
Palavandishvili (ფალავანდიშვილი)
Papaskiri (პაპასკირი)
Pataraia (პატარაია)
Patarava (პატარავა)
Patarkatsishvili (პატარკაციშვილი)
Pertakhia (პერტახია)
Pavlenishvili (ფავლენიშვილი)
Pavliashvili (ფავლიაშვილი)
Petradze (ფხტრაძე)
Petriashvili (ფხტრიაშვილი)
Pirtskhalaishvili (ფირცხალაიშვილი)
Pkheidze (ფხეიძე)
Peradze (ფერაძე)
R (რ)
Rapava (რაფავა)
Razmadze (რაზმაძე)
Revazishvili (რევაზიშვილი)
Rekhviashvili (რეხვიაშვილი)
Rokva (როყვა)
Rusieshvili (რუსიეშვილი)
Rukhadze (რუხაძე)
S (ს, შ)
Svanadze (სვანაძე)
Saakadze (სააკაძე)
Saakashvili (სააკაშვილი)
Sabauri (საბაური)
Samadalashvili (სამადალაშვილი)
Sanikidze (სანიკიძე)
Saralidze (სარალიძე)
Shaburidze (შაბურიძე)
Sakandelidze (საკანდელიძე)
Shalikashvili (შალიკაშვილი)
Shengelia (შენგელია)
Shervashidze (შერვაშიძე)
Shetekauri (შეთეკაური)
Shevardnadze (შევარდნაძე)
Shiolashvili (შიოლაშვილი)
Shishniashvili (შიშნიაშვილი)
Shvelidze (შველიძე)
Sichinava (სიჭინავა)
Sidamon-Eristavi (სიდამონ-ერისთავი)
Sikharulidze (სიხარულიძე)
Sologashvili (სოლოღაშვილი)
Stepanishvili (სტეფანიშვილი)
Sukhishvili (სუხიშვილი)
Shushania (შუშანია)
Svanidze (სვანიძე)
T (თ, ტ, წ, ც)
Tabagari (თაბაგარი)
Tarkhnishvili (თარხნიშვილი)
Tavdgiridze (თავდგირიძე)
Tsetskhladze (ცეცხლაძე)
Tsereteli (წერეთელი)
